tree_id,tree_name,dedication_type,dedication_year,dedication_honoree,dedication_desc,scientific_name,additional_taxonomy,height_class,diameter_breast_height,age_class,canopy_radius,condition
49,Chestnut Oak,To honor,2008,Dr. Earl Herbert Meseth,In ground marker,Quercus prinus,,Large,17 in.,Semi-mature,20 ft.,Good
50,Ginkgo,Memorial,1996,Claire Bartels,In ground marker,Ginkgo biloba,,Large,12 in.,Semi-mature,15 ft.,Good
51,Black Walnut,N/A,,,,Juglans nigra,,Large,28 in.,Mature,25 ft.,Good
52,Japanese Larch,N/A,,,,Larix kaempferi,,Medium,9 in.,Semi-mature,10 ft.,Fair
53,Sugar Maple,N/A,,,,Acer saccharum,Goldspire,Large,11 in.,Mature,6 ft.,Fair
54,Norway Maple,To honor,1997,John H. Licht,In ground marker,Acer platanoides,Summershade,Large,15 in.,Mature,15 ft.,Good
55,European Beech,Memorial,0,Roger A. Schmiege,In ground marker,Fagus sylvatica,FASY Fagus sylvatica,Large,9 in.,Semi-mature,10 ft.,Good
56,Ginkgo,Other,2017,Mary Kay Jacobs Bristol,,Ginkgo biloba,,Large,15 in.,Mature,10 ft.,Good
57,Common Sweetgum,N/A,,,,Liquidambar styraciflua,,Large,13 in.,Semi-mature,15 ft.,Good
59,European Beech,To honor,1997,Jeffrey and Carol Jean Licht,In ground marker,Fagus sylvatica,FASY Fagus sylvatica,Large,17 in.,Mature,15 ft.,Good
60,Japanese Larch,N/A,,,,Larix kaempferi,,Small,4 in.,Young,10 ft.,Fair
61,American Elm,N/A,,,,Ulmus americana,,Large,41 in.,Mature,20 ft.,Good
62,American Elm,N/A,,,,Ulmus americana,,Large,45 in.,Mature,25 ft.,Good
63,Black Walnut,N/A,,,,Juglans nigra,,Large,17 in.,Semi-mature,15 ft.,Good
65,Ginkgo,Memorial,1993,Susan Limper Fox,In ground marker,Ginkgo biloba,,Large,21 in.,Mature,20 ft.,Good
66,Common Baldcypress,To honor,2016,James Smith,,Taxodium distichum,,Large,11 in.,Semi-mature,10 ft.,Good
68,Norway Maple,N/A,,,,Acer platanoides,ACPL Acer platanoides,Large,17 in.,Mature,20 ft.,Good
69,Norway Maple,N/A,,,,Acer platanoides,ACPL Acer platanoides,Large,15 in.,Mature,15 ft.,Good
70,Norway Maple,N/A,,,,Acer platanoides,ACPL Acer platanoides,Large,17 in.,Mature,20 ft.,Good
71,Norway Maple,N/A,,,,Acer platanoides,ACPL Acer platanoides,Large,15 in.,Mature,20 ft.,Good
72,Common Baldcypress,N/A,,,,Taxodium distichum,,Large,14 in.,Mature,15 ft.,Good
73,Oak,N/A,2014,Senior Lodge Attic Gang,,Quercus sp,QUAC Quercus robur x macrocarpa Heritage,Small,1.75 in.,New planting,2.5 ft.,Good
74,Red Maple,N/A,,,,Acer rubrum,,Large,15 in.,Mature,15 ft.,Fair
75,Sugar Maple,N/A,,,,Acer saccharum,,Large,33 in.,Mature,25 ft.,Good
77,European Beech,Memorial,1997,Brad Muller,In ground marker,Fagus sylvatica,FASY Fagus sylvatica fernleaf,Large,22 in.,Mature,25 ft.,Good
78,European Beech,Memorial,1994,Franklin L. Buehler,In ground marker,Fagus sylvatica,FASY Fagus sylvatica weeping,Large,16 in.,Mature,20 ft.,Good
79,Austrian Pine,N/A,,,,Pinus nigra,,Large,12 in.,Mature,10 ft.,Fair
80,Sugar Maple,N/A,,,,Acer saccharum,,Large,28 in.,Mature,15 ft.,Fair
81,Witchhazel,N/A,,,,Hamamelis virginiana,HAVI Hamamelis viginiana,Small,2 in.,Semi-mature,6 ft.,Good
82,Pagoda Dogwood,N/A,,,,Cornus alternifolia,,Small,4 in.,Mature,10 ft.,Good
83,Pagoda Dogwood,N/A,,,,Cornus alternifolia,,Small,3 in.,Mature,10 ft.,Good
85,Star Magnolia,N/A,,,,Magnolia stellata,,Medium,5 in.,Semi-mature,10 ft.,Good
